fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;material;0000128840;12;;HELPMED;UD 2400 COMPOUNDER;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;19;
SIMPRO;2026-04-12;material;0000128839;12;;HELPMED;UD 600 COMPOUNDER;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;19;
SIMPRO;2026-04-12;material;0000128671;12;;HELPMED;UD MAQUINA DOSE UNIT.CADET TWIN 1UNID;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;19;
SIMPRO;2026-04-12;material;0000128665;12;;HELPMED;UD MAQUINA DOSE UNIT.UNIDOSE C.ACESSORIO;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;19;
SIMPRO;2026-04-12;material;0000128841;12;;HELPMED;UD MM 12 COMPOUNDER;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;19;
SIMPRO;2026-04-12;material;0000128812;12;;HELPMED;UD RAPID-FILL ASF;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-03;19;
SIMPRO;2026-04-12;material;0000275565;12;;BIOARGO;UDDERLY SMOOTH CREME P/PROTECAO PELE 114G;;;;;;;;;;;;;;200;SIMPRO_VIG;2018-01-09;19;
SIMPRO;2026-04-12;material;0000275564;12;;BIOARGO;UDDERLY SMOOTH CREME P/PROTECAO PELE 340G;;;;;;;;;;;;;;380;SIMPRO_VIG;2018-01-09;19;
SIMPRO;2026-04-12;material;0000281730;12;;BIOARGO;UDDERLY SMOOTH CREME P/PROTECAO PELE 340G C/VALVULA PUMP;;;;;;;;;;;;;;430;SIMPRO_VIG;2018-01-09;19;
SIMPRO;2026-04-12;material;0000275566;12;;BIOARGO;UDDERLY SMOOTH CREME P/PROTECAO PELE 57G;;;;;;;;;;;;;;120;SIMPRO_VIG;2018-01-09;19;
SIMPRO;2026-04-12;material;0000350120;12;;ARGUS CIENTIFICA;UIBC LIQUIDA 60ML (1X50ML+1X10ML B) WIENER;;;;;;;;;;;;;;1537.24;SIMPRO_VIG;2024-02-15;19;
SIMPRO;2026-04-12;material;0000337028;12;;ELBER MEDICAL;ULTRA FREEZER CIENTIFICO P/VACINA/MEDIC./SANGUE C/KIT CO2 TEMP-50 A -86°C VOL.400LT.;;;;;;;;;;;;;;138951;SIMPRO_VIG;2025-06-17;19;
SIMPRO;2026-04-12;material;0000337027;12;;ELBER MEDICAL;ULTRA FREEZER CIENTIFICO P/VACINA/MEDIC./SANGUE C/KIT CO2 TEMP.-50 A -86°C VOL.600LT.;;;;;;;;;;;;;;159961;SIMPRO_VIG;2025-06-17;19;
SIMPRO;2026-04-12;material;0000337026;12;;ELBER MEDICAL;ULTRA FREEZER CIENTIFICO P/VACINA/MEDIC./SANGUE TEMP.-50 A -86°C VOL.600LT.63111;;;;;;;;;;;;;;133978;SIMPRO_VIG;2025-06-17;19;
SIMPRO;2026-04-12;material;0000121189;12;;JG MORIYA;ULTRA MIRAGE CUSHION CLIP 8,00 RESPIRONICS;;;;;;;;;;;;;;105.8;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000121187;12;;JG MORIYA;ULTRA MIRAGE CUSHION LARGE RESPIRONICS;;;;;;;;;;;;;;357.08;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000121188;12;;JG MORIYA;ULTRA MIRAGE CUSHION SHALLOW RESPIRONICS;;;;;;;;;;;;;;357.08;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000121190;12;;JG MORIYA;ULTRA MIRAGE HEADGEAR CLIP RESPIRONICS;;;;;;;;;;;;;;26.44;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000121186;12;;JG MORIYA;ULTRA MIRAGE HEADGEAR RESPIRONICS;;;;;;;;;;;;;;290.94;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000108321;12;;CARCI;ULTRA SOM SONOMED III 3 MHZ (NOVO);;;;;;;;;;;;;;955.25;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000095451;12;;CARCI;ULTRA SOM SONOMED III 3 MHZ 4130;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000095452;12;;CARCI;ULTRA SOM SONOMED IV 1 MHZ;;;;;;;;;;;;;;955.26;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000108322;12;;CARCI;ULTRA SOM SONOMED IV 1 MHZ (NOVO) 4142US;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000108323;12;;CARCI;ULTRA SOM SONOMED IV 1 MHZ/3 MHZ;;;;;;;;;;;;;;1240;SIMPRO_VIG;2009-11-13;19;
SIMPRO;2026-04-12;material;0000250344;12;;BOSTON CARDIOLOGIA;ULTRA-SOM ILAB SISTEMA CART SYSTEM 120V BRA;;;;;;;;;;;;;;690000;SIMPRO_VIG;2014-10-07;19;
SIMPRO;2026-04-12;material;0000110941;12;;BAXTER;ULTRAFILTRO;;;;;;;;;;;;;;1004.38;SIMPRO_VIG;2016-04-26;19;
SIMPRO;2026-04-12;material;0000145755;12;;BAXTER;ULTRAFILTRO;;;;;;;;;;;;;;1235.18;SIMPRO_VIG;2016-04-26;19;
SIMPRO;2026-04-12;material;0000244873;12;;NEWMED;ULTRASSOM 1MHZ;;;;;;;;;;;;;;4779.62;SIMPRO_VIG;2017-05-03;19;
SIMPRO;2026-04-12;material;0000244874;12;;NEWMED;ULTRASSOM 3MHZ;;;;;;;;;;;;;;4779.62;SIMPRO_VIG;2017-05-03;19;
SIMPRO;2026-04-12;material;0000346520;12;;ALFA MED;"ULTRASSOM 3SONDAS CONVEXO/LINEAR/ENDOCAVITARIO 19""";;;;;;;;;;;;;;496944;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346524;12;;ALFA MED;"ULTRASSOM 3SONDAS CONVEXO/LINEAR/ENDOCAVITARIO 19""";;;;;;;;;;;;;;657720;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346525;12;;ALFA MED;"ULTRASSOM 3SONDAS CONVEXO/LINEAR/ENDOCAVITARIO 19""";;;;;;;;;;;;;;809726.4;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346522;12;;ALFA MED;"ULTRASSOM 3SONDAS CONVEXO/LINEAR/ENDOCAVITARIO 23""";;;;;;;;;;;;;;518868;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346521;12;;ALFA MED;"ULTRASSOM 4SONDAS CONVEXO/LINEAR/ENDOCAVITARIO/SETORIAL 19""";;;;;;;;;;;;;;621180;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346526;12;;ALFA MED;"ULTRASSOM 4SONDAS CONVEXO/LINEAR/ENDOCAVITARIO/SETORIAL 19""";;;;;;;;;;;;;;948578.4;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346523;12;;ALFA MED;"ULTRASSOM CARDIO/CONVEXO/LINEAR/ENDOCAVITARIO/SETORIAL 23""";;;;;;;;;;;;;;643104;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000296787;12;;MOBISSOM;ULTRASSOM M1 CONVEXO 3,5MHZ PROF 90-200 VISAO 80GR BAT INTERN 3HS;;;;;;;;;;;;;;173600;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296791;12;;MOBISSOM;ULTRASSOM M1 CONVEXO 3,5MHZ PROF 90-200 VISAO 80GR BAT INTERN 3HS+IPAD;;;;;;;;;;;;;;198400;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296788;12;;MOBISSOM;ULTRASSOM M2 LINEAR 7,5MHZ PROF 40-100 VISA N/A BAT INTERN 3HS;;;;;;;;;;;;;;173600;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296792;12;;MOBISSOM;ULTRASSOM M2 LINEAR 7,5MHZ PROF 40-100 VISA N/A BAT INTERN 3HS+IPAD;;;;;;;;;;;;;;198400;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296789;12;;MOBISSOM;ULTRASSOM M3 CONVEXO 3,5-5MHZ PROF 90-200 BAT INTERN 3HS;;;;;;;;;;;;;;197098;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296793;12;;MOBISSOM;ULTRASSOM M3 CONVEXO 3,5-5MHZ PROF 90-200 BAT INTERN 3HS+IPAD;;;;;;;;;;;;;;221898;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296790;12;;MOBISSOM;ULTRASSOM M4 LINEAR 10-14MHZ PROF 20-55 BAT INTERN 3HS;;;;;;;;;;;;;;208692;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000296794;12;;MOBISSOM;ULTRASSOM M4 LINEAR 10-14MHZ PROF 20-55 BAT INTERN 3HS+IPAD;;;;;;;;;;;;;;233492;SIMPRO_VIG;2018-03-27;19;
SIMPRO;2026-04-12;material;0000346512;12;;ALFA MED;ULTRASSOM PORTATIL 1SONDA LINEAR;;;;;;;;;;;;;;278100;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346513;12;;ALFA MED;ULTRASSOM PORTATIL 2SONDAS LINEAR/CONVEXO;;;;;;;;;;;;;;339900;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346515;12;;ALFA MED;ULTRASSOM PORTATIL 2SONDAS LINEAR/CONVEXO;;;;;;;;;;;;;;562716;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346519;12;;ALFA MED;ULTRASSOM PORTATIL 2SONDAS LINEAR/CONVEXO;;;;;;;;;;;;;;665028;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346516;12;;ALFA MED;ULTRASSOM PORTATIL 2SONDAS LINEAR/SETORIAL;;;;;;;;;;;;;;613872;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346517;12;;ALFA MED;ULTRASSOM PORTATIL 3SONDAS LINEAR/CONVEXO/SETORIAL;;;;;;;;;;;;;;701568;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346514;12;;ALFA MED;ULTRASSOM PORTATIL 3SONDAS LINEAR/ENDOCAVITARIO/CONVEXO;;;;;;;;;;;;;;426420;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000346518;12;;ALFA MED;ULTRASSOM PORTATIL 4SONDAS LINEAR/CONVEXO/ENDOCAVITARIO/SETORIAL;;;;;;;;;;;;;;811188;SIMPRO_VIG;2023-08-29;19;
SIMPRO;2026-04-12;material;0000276546;12;;BARD;ULTRASSOM PORTATIL IPREVUE;;;;;;;;;;;;;;85875;SIMPRO_VIG;2017-01-01;19;
SIMPRO;2026-04-12;material;0000357630;12;;ALFA MED;ULTRASSOM ULTRAPORTATIL CONVEXO;;;;;;;;;;;;;;156000;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000357635;12;;ALFA MED;ULTRASSOM ULTRAPORTATIL ENCOCAVITARIO;;;;;;;;;;;;;;230000;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000357631;12;;ALFA MED;ULTRASSOM ULTRAPORTATIL LINEAR;;;;;;;;;;;;;;177000;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000357632;12;;ALFA MED;ULTRASSOM ULTRAPORTATIL LINEAR ALTA FREQUENCIA;;;;;;;;;;;;;;210000;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000357633;12;;ALFA MED;ULTRASSOM ULTRAPORTATIL MICROCONVEXO;;;;;;;;;;;;;;156000;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000357634;12;;ALFA MED;ULTRASSOM ULTRAPORTATIL SETORIAL;;;;;;;;;;;;;;230000;SIMPRO_VIG;2024-12-03;19;
SIMPRO;2026-04-12;material;0000077011;12;;MALLINCKRODT;ULTRAVENT RDS KIT VENTILACAO 10UNID;;;;;;;;;;;;;;628.906;SIMPRO_VIG;2012-07-05;19;
SIMPRO;2026-04-12;material;0000049133;12;;MALLINCKRODT;ULTRAVENT SHIELD EQUIPAMENTO VENTILACAO PULMONAR;;;;;;;;;;;;;;21450;SIMPRO_VIG;2003-07-01;19;
SIMPRO;2026-04-12;material;0000049132;12;;MALLINCKRODT;ULTRAVENT SISTEMA VENTILACAO RADIOAEROSOL BLIND.;;;;;;;;;;;;;;910;SIMPRO_VIG;2001-09-01;19;
SIMPRO;2026-04-12;material;0000139622;12;;HELIANTO;UMECTAFLEX 10,2CMX9,14M C/24UNID;;;;;;;;;;;;;;4.479;SIMPRO_VIG;2012-10-26;19;
SIMPRO;2026-04-12;material;0000245317;12;;SALIP COMERCIAL LTDA;UMECTANTE BIODONE SALIGEL LONGA DURACAO 45GRAMAS;;;;;;;;;;;;;;2.844;SIMPRO_VIG;2015-12-08;19;
SIMPRO;2026-04-12;material;0000252398;12;;FISHER & PAYKEL;UMIDIFICADOR;;;;;;;;;;;;;;16493.4;SIMPRO_VIG;2015-08-25;19;
SIMPRO;2026-04-12;material;0000158290;12;;NEWMED;UMIDIFICADOR 115V C/SENSOR TEMP./FLUXO/ADAPTADOR MR850;;;;;;;;;;;;;;23465.14;SIMPRO_VIG;2014-04-16;19;
SIMPRO;2026-04-12;material;0000248770;12;;GETINGE;UMIDIFICADOR 161 100UNID;;;;;;;;;;;;;;12.2;SIMPRO_VIG;2016-01-29;19;
SIMPRO;2026-04-12;material;0000248771;12;;MAQUET;UMIDIFICADOR 161 SERVO-S 100UNID;;;;;;;;;;;;;;10.611;SIMPRO_VIG;2014-08-28;19;
SIMPRO;2026-04-12;material;0000248772;12;;GETINGE;UMIDIFICADOR 162 100UNID;;;;;;;;;;;;;;24;SIMPRO_VIG;2015-11-10;19;
SIMPRO;2026-04-12;material;0000248773;12;;MAQUET;UMIDIFICADOR 162 SERVO-S 100UNID;;;;;;;;;;;;;;12.848;SIMPRO_VIG;2014-08-28;19;
SIMPRO;2026-04-12;material;0000248774;12;;GETINGE;UMIDIFICADOR 163 100UNID;;;;;;;;;;;;;;30;SIMPRO_VIG;2015-11-10;19;
SIMPRO;2026-04-12;material;0000248775;12;;MAQUET;UMIDIFICADOR 163 SERVO-S C/TUBO FLEXIVEL 100UNID;;;;;;;;;;;;;;16.056;SIMPRO_VIG;2014-08-28;19;
SIMPRO;2026-04-12;material;0000273108;12;;OXY SYSTEM;UMIDIFICADOR AQUECIDO;;;;;;;;;;;;;;3100;SIMPRO_VIG;2016-07-07;19;
SIMPRO;2026-04-12;material;0000273111;12;;OXY SYSTEM;UMIDIFICADOR AQUECIDO;;;;;;;;;;;;;;4000;SIMPRO_VIG;2016-07-07;19;
SIMPRO;2026-04-12;material;0000273112;12;;OXY SYSTEM;UMIDIFICADOR AQUECIDO;;;;;;;;;;;;;;5000;SIMPRO_VIG;2016-07-07;19;
SIMPRO;2026-04-12;material;0000324089;12;;TREND MEDICAL;UMIDIFICADOR AQUECIDO 517.00000;;;;;;;;;;;;;;4326;SIMPRO_VIG;2021-05-27;19;
SIMPRO;2026-04-12;material;0000324090;12;;TREND MEDICAL;"UMIDIFICADOR AQUECIDO DISPLAY TRIPLO 0,56"" 5 NIVEIS TEMPERATURAS 717.00000";;;;;;;;;;;;;;5974;SIMPRO_VIG;2021-05-27;19;
SIMPRO;2026-04-12;material;0000110362;12;;JG MORIYA;UMIDIFICADOR AQUECIDO P/REMSTAR;;;;;;;;;;;;;;2252;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000110361;12;;JG MORIYA;UMIDIFICADOR AQUECIDO P/S7 RESMED;;;;;;;;;;;;;;1138.5;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000110363;12;;JG MORIYA;UMIDIFICADOR AQUECIDO P/SYNCRONY;;;;;;;;;;;;;;2842.72;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000110360;12;;JG MORIYA;UMIDIFICADOR AQUECIDO RESPIRONICS;;;;;;;;;;;;;;4420.42;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000324091;12;;TREND MEDICAL;UMIDIFICADOR AQUECIDO TR EVOLUTION;;;;;;;;;;;;;;15450;SIMPRO_VIG;2021-05-27;19;
SIMPRO;2026-04-12;material;0000327989;12;;CONTROLLER;UMIDIFICADOR AR 3,0LT.BIVOLT AUTOMATICO;;;;;;;;;;;;;;968.8;SIMPRO_VIG;2021-11-18;19;
SIMPRO;2026-04-12;material;0000252093;12;;RESPIROX;UMIDIFICADOR BOLHAS PRETO;;;;;;;;;;;;;;88;SIMPRO_VIG;2015-02-23;19;
SIMPRO;2026-04-12;material;0000102486;12;;PROTEC - SUSPENSA;UMIDIFICADOR C/FR.PLAST.500ML C/EXT./MASC.P/AR COMPRIMIDO;;;;;;;;;;;;;;14.3;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000102485;12;;PROTEC - SUSPENSA;UMIDIFICADOR C/FR.PLAST.500ML C/EXT./MASC.P/OXIGENIO;;;;;;;;;;;;;;14.3;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000053130;12;;PROTEC - SUSPENSA;UMIDIFICADOR C/FR.PLAST.500ML P/AR COMPRIMIDO;;;;;;;;;;;;;;10.01;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000053129;12;;PROTEC - SUSPENSA;UMIDIFICADOR C/FR.PLAST.500ML P/OXIGENIO;;;;;;;;;;;;;;10.01;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000044825;12;;NEWMED;UMIDIFICADOR CONDENSADOR HIGROSC.NEO.;;;;;;;;;;;;;;165;SIMPRO_VIG;2020-05-12;19;
SIMPRO;2026-04-12;material;0000300815;12;;NEWMED;UMIDIFICADOR CONDENSADOR HIGROSCOPICO C/FILTRO AIRLIFE;;;;;;;;;;;;;;235;SIMPRO_VIG;2020-05-12;19;
SIMPRO;2026-04-12;material;0000253426;12;;LUMIAR;UMIDIFICADOR DESC.LUMIAR 300ML 3PSI ENTRADA CENTRAL;;;;;;;;;;;;;;48;SIMPRO_VIG;2015-01-22;19;
SIMPRO;2026-04-12;material;0000253428;12;;LUMIAR;UMIDIFICADOR DESC.LUMIAR 400ML 4PSI ENTRADA CENTRAL;;;;;;;;;;;;;;48;SIMPRO_VIG;2015-01-22;19;
SIMPRO;2026-04-12;material;0000253432;12;;LUMIAR;UMIDIFICADOR DESC.LUMIAR 400ML 4PSI ENTRADA LATERAL;;;;;;;;;;;;;;48;SIMPRO_VIG;2015-01-22;19;
SIMPRO;2026-04-12;material;0000253430;12;;LUMIAR;UMIDIFICADOR DESC.LUMIAR 400ML 6PSI ENTRADA CENTRAL;;;;;;;;;;;;;;48;SIMPRO_VIG;2015-01-22;19;
SIMPRO;2026-04-12;material;0000253431;12;;LUMIAR;UMIDIFICADOR DESC.LUMIAR 400ML 6PSI ENTRADA LATERAL;;;;;;;;;;;;;;48;SIMPRO_VIG;2015-01-22;19;
SIMPRO;2026-04-12;material;0000253433;12;;LUMIAR;UMIDIFICADOR DESC.LUMIAR 500ML 4PSI ENTRADA LATERAL;;;;;;;;;;;;;;48;SIMPRO_VIG;2015-01-22;19;
SIMPRO;2026-04-12;material;0000258082;12;;CSE;UMIDIFICADOR DESC.P/OXIGENIO 300ML OXITER;;;;;;;;;;;;;;95;SIMPRO_VIG;2015-05-26;19;
SIMPRO;2026-04-12;material;0000043127;12;;JG MORIYA;UMIDIFICADOR ECONOMICO FRASCO POLIETILENO P/OXIGENIO;;;;;;;;;;;;;;105.06;SIMPRO_VIG;2014-10-28;19;
SIMPRO;2026-04-12;material;0000290202;12;;PROTEC;UMIDIFICADOR FRASCO 250ML AR;;;;;;;;;;;;;;46.51;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000290203;12;;PROTEC;UMIDIFICADOR FRASCO 250ML AR C/EXTENSOR/MASCARA ADU.;;;;;;;;;;;;;;72.31;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000290204;12;;PROTEC;UMIDIFICADOR FRASCO 250ML AR C/EXTENSOR/MASCARA INF.;;;;;;;;;;;;;;72.31;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262374;12;;PROTEC;UMIDIFICADOR FRASCO 250ML O2;;;;;;;;;;;;;;42.11;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000262375;12;;PROTEC;UMIDIFICADOR FRASCO 250ML O2 C/EXT.MASCARA ADU.;;;;;;;;;;;;;;72.31;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000290205;12;;PROTEC;UMIDIFICADOR FRASCO 250ML O2 C/EXTENSOR/MASCARA INF.;;;;;;;;;;;;;;72.31;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000043128;12;;JG MORIYA;UMIDIFICADOR FRASCO POLIPROPILENO P/OXIGENIO;;;;;;;;;;;;;;105.06;SIMPRO_VIG;2014-10-28;19;
SIMPRO;2026-04-12;material;0000305527;12;;CONCEITOS LOJA;UMIDIFICADOR FRASCO PVC 250ML C/PORCA NYLON P/O2;;;;;;;;;;;;;;163.18;SIMPRO_VIG;2019-05-30;19;
SIMPRO;2026-04-12;material;0000043124;12;;JG MORIYA;UMIDIFICADOR FRIO(IMPORTADO);;;;;;;;;;;;;;12.79;SIMPRO_VIG;2006-09-20;19;
SIMPRO;2026-04-12;material;0000114347;12;;JG MORIYA;UMIDIFICADOR H3I P/S8 RESMED;;;;;;;;;;;;;;1380;SIMPRO_VIG;2007-08-17;19;
SIMPRO;2026-04-12;material;0000044823;12;;NEWMED;UMIDIFICADOR HIGROSCOPICO UMI-TRACH;;;;;;;;;;;;;;207.5;SIMPRO_VIG;2020-05-12;19;
SIMPRO;2026-04-12;material;0000290206;12;;PROTEC;UMIDIFICADOR MASTER 400ML O2 PP;;;;;;;;;;;;;;116.31;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000290207;12;;PROTEC;UMIDIFICADOR MASTER 400ML O2 PP C/EXTENSOR/MASCARA;;;;;;;;;;;;;;145.35;SIMPRO_VIG;2017-09-05;19;
SIMPRO;2026-04-12;material;0000053132;12;;PROTEC - SUSPENSA;UMIDIFICADOR MASTER 500ML C/EXTENSAO/MASCARA P/AR;;;;;;;;;;;;;;13;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000053131;12;;PROTEC - SUSPENSA;UMIDIFICADOR MASTER 500ML C/EXTENSAO/MASCARA P/OXIGENIO;;;;;;;;;;;;;;13;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000262376;12;;PROTEC;UMIDIFICADOR MASTER C/FRASCO PC AUTOCLAV.121° 400ML;;;;;;;;;;;;;;93.84;SIMPRO_VIG;2015-10-21;19;
SIMPRO;2026-04-12;material;0000262377;12;;PROTEC;UMIDIFICADOR MASTER C/FRASCO PC AUTOCLAV.121° 400ML C/EXTENSOR/MASCARA;;;;;;;;;;;;;;96.9;SIMPRO_VIG;2015-10-21;19;
SIMPRO;2026-04-12;material;0000079105;12;;JG MORIYA;UMIDIFICADOR N/AQUECIDO P/CPAP/BIPAP(TIARA MEDICAL);;;;;;;;;;;;;;587.65;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000110364;12;;JG MORIYA;UMIDIFICADOR N/AQUECIDO RESPIRONICS;;;;;;;;;;;;;;1231.65;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000043126;12;;JG MORIYA;UMIDIFICADOR P/AR;;;;;;;;;;;;;;40.13;SIMPRO_VIG;2007-02-01;19;
SIMPRO;2026-04-12;material;0000043125;12;;JG MORIYA;UMIDIFICADOR P/AR 105515;;;;;;;;;;;;;;0;SIMPRO_VIG;2010-01-12;19;
SIMPRO;2026-04-12;material;0000258077;12;;CSE;UMIDIFICADOR P/OXIGENIO 200ML CH/200;;;;;;;;;;;;;;320;SIMPRO_VIG;2015-05-26;19;
SIMPRO;2026-04-12;material;0000258079;12;;CSE;UMIDIFICADOR P/OXIGENIO 200ML TR/200;;;;;;;;;;;;;;360;SIMPRO_VIG;2015-05-26;19;
SIMPRO;2026-04-12;material;0000258080;12;;CSE;UMIDIFICADOR P/OXIGENIO 300ML MAK/300;;;;;;;;;;;;;;400;SIMPRO_VIG;2015-05-26;19;
SIMPRO;2026-04-12;material;0000258081;12;;CSE;UMIDIFICADOR P/OXIGENIO 500ML MAK/500;;;;;;;;;;;;;;450;SIMPRO_VIG;2015-05-26;19;
SIMPRO;2026-04-12;material;0000271942;12;;INTERSURGICAL;UMIDIFICADOR P/TRAQUEOSTOMIA;;;;;;;;;;;;;;120;SIMPRO_VIG;2023-08-08;19;
SIMPRO;2026-04-12;material;0000330887;12;;ENDOBRAX;UMIDIFICADOR RESPIRATORIO ALTO FLUXO;;;;;;;;;;;;;;39000;SIMPRO_VIG;2022-04-26;19;
SIMPRO;2026-04-12;material;0000251634;12;;NEWMED;UMIDIFICADOR RESPIRATORIO C/AQUECIMENTO MR850;;;;;;;;;;;;;;17750.04;SIMPRO_VIG;2015-09-09;19;
SIMPRO;2026-04-12;material;0000252399;12;;FISHER & PAYKEL;UMIDIFICADOR SERVOCONTROLADO;;;;;;;;;;;;;;42440.16;SIMPRO_VIG;2015-08-25;19;
SIMPRO;2026-04-12;material;0000053136;12;;PROTEC - SUSPENSA;UMIDIFICADOR STD C/FR.250ML C/EXTENSAO/MASCARA P/AR;;;;;;;;;;;;;;10.78;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000053135;12;;PROTEC - SUSPENSA;UMIDIFICADOR STD C/FR.250ML C/EXTENSAO/MASCARA P/OXIGENIO;;;;;;;;;;;;;;10.78;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000053134;12;;PROTEC - SUSPENSA;UMIDIFICADOR STD C/FR.250ML P/AR COMP.;;;;;;;;;;;;;;6.44;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000053133;12;;PROTEC - SUSPENSA;UMIDIFICADOR STD C/FR.250ML P/OXIG.;;;;;;;;;;;;;;6.44;SIMPRO_VIG;2009-09-29;19;
SIMPRO;2026-04-12;material;0000042882;12;;COVIDIEN;UMIDIFICADOR TRAQUEOSTOMIA TRACHEOLIFE II;;;;;;;;;;;;;;78.94;SIMPRO_VIG;2016-06-17;19;
SIMPRO;2026-04-12;material;0000267774;12;;WHITE MARTINS;UMIDIFICADOR/AQUECEDOR AR PRECISION FLOW FLOW PLUS;;;;;;;;;;;;;;69905.12;SIMPRO_VIG;2023-10-27;19;
SIMPRO;2026-04-12;material;0000250139;12;;NEWMED;UMIDIFICADOR/FILTRO CONDESADOR HIGROSCOPICO;;;;;;;;;;;;;;111.25;SIMPRO_VIG;2017-05-03;19;
