fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000053290;05;702-21218-DTCV;SANDOZ;RABEPRAZOL - GENERICO;10 mg. lib. retard bl. al/al x 14 cprs. rev.;RABEPRAZOL SÓDICO;7897595620415;1004705230013;90252322;511513070057206;S;N;14;63.01;86.85;4.5;6.2;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000053292;05;702-21218-DTCX;SANDOZ;RABEPRAZOL - GENERICO;20 mg. lib. retard bl. al/al x 28 cprs. rev.;RABEPRAZOL SÓDICO;7897595620453;1004705230056;90252349;511513070057406;S;N;28;229.15;315.86;8.18;11.28;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000077466;05;048-22457-FBNN;ACHE;RACECADOTRILA - GENERICO;100 mg bl. x 9 caps.;RACECADOTRILA;7896181926467;1057306120037;90444019;552919110082717;S;N;9;27.28;36.6;3.03;4.07;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000089737;05;753-27552-FQUU;DAIICHI SANKYO;RADICAVA;1,5 mg/ml sol. dil. infus. IV ct. 2 amps. vd. trans. x  20 ml;EDARAVONA;7897411650824;1045401920017;90562291;530423060018802;N;N;2;291.71;391.32;145.85;195.66;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000085961;05;729-26608-FMFK;TEVA;RAGIONE;18 mg. fr. plas. opc. x 30 cprs. rev.;CLORIDRATO DE METILFENIDATO;7898587901512;1557300570016;90530411;537522020010504;N;N;30;177.51;238.13;5.92;7.94;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000085962;05;729-26608-FMFM;TEVA;RAGIONE;36 mg. fr. plas. opc. x 30 cprs. rev.;CLORIDRATO DE METILFENIDATO;7898587901536;1557300570024;90530420;537522020010304;N;N;30;241.23;323.6;8.04;10.79;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000085963;05;729-26608-FMFN;TEVA;RAGIONE;54 mg. fr. plas. opc. x 30 cprs. rev.;CLORIDRATO DE METILFENIDATO;7898587901543;1557300570032;90530438;537522020010404;N;N;30;241.24;323.61;8.04;10.79;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000084832;05;092-26432-FKYD;APSEN;RAHIME;8 mg cx. c/10 cprs. rev. (C1);RAMELTEONA;7896637033022;1011806360081;90523652;501621110034604;N;N;10;28.07;37.65;2.81;3.76;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000084833;05;092-26432-FKYE;APSEN;RAHIME;8 mg cx. c/30 cprs. rev. (C1);RAMELTEONA;7896637033046;1011806360101;90523679;501621110034804;N;N;30;80.29;107.71;2.68;3.59;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000089890;05;517-27588-FPLP;PRATI DONADUZZI;RALZIN;100 mg ct. bl. al. plas. PVC trans. x 30 cprs. rev.;CLORIDRATO DE SERTRALINA;7899547538670;1256803260141;90557425;528522110183703;N;N;30;92.37;127.32;3.08;4.24;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000089891;05;517-27588-FQZU;PRATI DONADUZZI;RALZIN;50 mg ct. bl. al. plas. pvc trans. x 10 cprs. rev.;CLORIDRATO DE SERTRALINA;7899547538847;1256803260311;90557433;528522110183503;N;N;10;30.74;42.37;3.07;4.24;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000089892;05;517-27588-FQZT;PRATI DONADUZZI;RALZIN;50 mg ct. bl. al. plas. pvc trans. x 30 cprs. rev.;CLORIDRATO DE SERTRALINA;7899547538557;1256803260028;90557417;528522110183603;N;N;30;53.02;73.08;1.77;2.44;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000090728;05;517-27588-FRZC;PRATI DONADUZZI;RALZIN;100 mg. ct. bl. al. plas. pvc trans. x 60 cprs. rev.;CLORIDRATO DE SERTRALINA;7899547538687;1256803260151;90590198;528524070199803;N;N;60;175.52;241.94;2.93;4.03;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000090729;05;517-27588-FRZD;PRATI DONADUZZI;RALZIN;50 mg. ct. bl. al. plas. pvc trans. x 60 cprs. rev.;CLORIDRATO DE SERTRALINA;7899547538564;1256803260036;90590082;528524070198303;N;N;60;90.16;124.28;1.5;2.07;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000040306;05;1048-12511-DBAJ;SANOFI MEDLEY;RAMIPRIL - GENERICO;5,0 mg. bl. 30 cprs.;RAMIPRIL;7896422518673;1832601850021;90368665;525072606115112;S;N;30;62.08;85.57;2.07;2.85;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000040307;05;1048-12511-DBAK;SANOFI MEDLEY;RAMIPRIL - GENERICO;5,0 mg. bl. 60 cprs.;RAMIPRIL;7896422518987;1832601850038;90368673;525072601113111;S;N;60;104.58;144.15;1.74;2.4;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000094343;05;1043-28632-FWQW;BIOMM;RANIVISIO;10 mg/ml sol. inj. ct. FA vd. trans x 0,23 ml;RANIBIZUMABE;7898616360945;1334800050011;90613023;574525080002607;N;N;1;3199.41;4423;3199.41;4423;;BRAS_PF_PMC;ed. 1084;20;
BRASINDICE;1100;medicamento;0000086564;05;1075-07788-BIRS;PFIZER BRASIL;RAPAMUNE;1 mg ct. bl. al. plas. trans. x 60 drags.;SIROLIMO;7891045009683;1211004530016;90458567;522720020083817;N;N;60;2808.26;3870.89;46.8;64.51;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000086565;05;1075-07788-BSUU;PFIZER BRASIL;RAPAMUNE;2 mg. ct. bl. al. plas. trans. x 30 drags.;SIROLIMO;7891045009676;1211004530024;90446950;522720020083917;N;N;30;2808.26;3870.89;93.61;129.03;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000083335;05;608-17574-FJCX;ABL;RAPIFEN (Restrito Hosp.);544 mcg/ml sol. inj. IV 5 amp. vd. inc. x 5 ml;CLORIDRATO DE ALFENTANILA MONOIDRATADA;7898564761368;1556200570024;90509358;501321050030217;N;S;5;252.8;0;50.56;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000077794;05;729-27008-FBYD;TEVA;RARIJA (CONVENIO 132/21);250 mg. ct. fr. plast. opc. x 120 cprs. rev. or.;ACETATO DE ABIRATERONA;7898587901260;1557300490217;90434315;537519060007704;N;N;120;14087.48;18897.85;117.4;157.48;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000087382;05;048-26861-FNPQ;ACHE;RAVUMA;100 mg bl. x 10 cprs.;CIPROFIBRATO;7896658046735;1057300200012;90545559;552922100151503;N;N;10;12.46;17.17;1.25;1.72;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087383;05;048-26861-FBDE;ACHE;RAVUMA;100 mg bl. x 30 cprs.;CIPROFIBRATO;7896658046742;1057300200039;90545567;552922100151603;N;N;30;42.21;58.18;1.41;1.94;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087623;05;702-17568-FNWZ;SANDOZ;RAZAPINA;30 mg ct. bl. al. plas. trans. x 7 cprs. rev.;MIRTAZAPINA;7897595608277;1004704640013;90192583;511515601117415;N;N;7;24.69;34.03;3.53;4.86;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000090582;05;702-17568-FRIW;SANDOZ;RAZAPINA;45 mg ct. bl. al. plas. trans. x 30 cprs. rev.;MIRTAZAPINA;7897595634894;1004704640404;90583027;511524050081503;N;N;30;199.43;274.89;6.65;9.16;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000090583;05;702-17568-FRIX;SANDOZ;RAZAPINA;30 mg ct. bl. al. plas. trans. x 30 cprs. rev.;MIRTAZAPINA;7897595634924;1004704640382;90583000;511524050081303;N;N;30;141.91;195.61;4.73;6.52;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000090584;05;702-17568-FRUA;SANDOZ;RAZAPINA;30 mg ct. bl. al. plas. trans. x 60 cprs. rev.;MIRTAZAPINA;7897595635570;1004704640390;90583019;511524050081403;N;N;60;249.77;344.28;4.16;5.74;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091615;05;702-17568-FFAK;SANDOZ;RAZAPINA;15 mg. ct. bl. al/al x 30 cprs. orodisp.;MIRTAZAPINA;7897595634863;1004704640218;90582977;511524050081003;N;N;30;70.92;97.76;2.36;3.26;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091616;05;702-17568-FFAL;SANDOZ;RAZAPINA;30 mg. ct. bl. al/al x 30 cprs. orodisp.;MIRTAZAPINA;7897595634887;1004704640285;90582985;511524050081203;N;N;30;141.91;195.61;4.73;6.52;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091617;05;702-17568-FFAM;SANDOZ;RAZAPINA;45 mg. ct. bl. al/al x 30 cprs. orodisp.;MIRTAZAPINA;7897595634931;1004704640358;90582993;511524050081103;N;N;30;199.43;274.89;6.65;9.16;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000049735;05;702-20629-DOVZ;SANDOZ;RAZAPINA ODT;15 mg. bl. al/al x 28 cprs. orodisp.;MIRTAZAPINA;7897595619518;1004704640201;90252160;511512070054704;N;N;28;63.77;87.9;2.28;3.14;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000049738;05;702-20629-DOWC;SANDOZ;RAZAPINA ODT;30 mg. bl. al/al x 28 cprs. orodisp.;MIRTAZAPINA;7897595619587;1004704640277;90252187;511512070055004;N;N;28;127.59;175.87;4.56;6.28;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000049739;05;702-20629-DOWD;SANDOZ;RAZAPINA ODT;45 mg. bl. al/al x 28 cprs. orodisp.;MIRTAZAPINA;7897595619655;1004704640341;90252195;511512070055104;N;N;28;179.3;247.15;6.4;8.83;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1094;medicamento;0000070156;05;438-23491-FLYJ;BIOLAB SANUS;REAOX LITE;Cx. 30 caps.;;7898549750172;;;;N;;30;137.57;0;4.59;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1094;medicamento;0000070151;05;438-22091-AQAY;BIOLAB SANUS;REAOX Q10;30 caps.;;7898549752114;6719800440011;;;N;;30;176.51;0;5.88;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1094;medicamento;0000086954;05;438-26743-FLYJ;BIOLAB SANUS;REAOX ULTRA;Cx. 30 caps.;;7896112402817;;;;N;;30;175.32;0;5.84;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000062572;05;438-25966-FLYJ;BIOLAB SANUS;REAOX X30;Cx. 30 caps.;;7898942324079;;;;N;;30;149.77;0;4.99;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000003092;05;089-04427-AYOH;MERCK;REBIF;22 mcg/6 MUI cx. 12 ser. de liq. p/inj. c/0,5 ml.;BETAINTERFERONA 1A;7891721022418;1008903510023;90162056;525420402151415;N;N;12;13427.53;18508.45;1118.96;1542.37;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000003093;05;089-04427-BFMK;MERCK;REBIF;44 mcg/12 MUI cx. 12 ser. de liq. p/inj. c/0,5 ml.;BETAINTERFERONA 1A;7891721022425;1008903510041;90162064;525420401153414;N;N;12;15276.09;21056.5;1273.01;1754.71;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000085970;05;309-26609-FMFR;B-MS;REBLOZYL (Restrito Hosp.);25 mg po liof. sol. inj. SC ct. FA vd. trans. x 0,5 ml;LUSPATERCEPTE;7896016808586;1018004110011;90531744;505122030021901;N;S;1;15471.08;0;15471.08;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000085971;05;309-26609-FMFS;B-MS;REBLOZYL (Restrito Hosp.);75 mg po liof. sol. inj. SC ct. FA vd. trans. x 1,5 ml;LUSPATERCEPTE;7896016808593;1018004110021;90531752;505122030022001;N;S;1;46408.03;0;46408.03;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000084791;05;072-26427-FKWM;EUROFARMA;REBRIVE (Restrito Hosp.);100 mg/ml sol. inj/dil. infus. IV ct. 10 FA vd. trans. x 2 ml;SUGAMADEX SÓDICO;7891317012984;1004313910012;90527690;508022010148504;N;S;10;4956.44;0;495.64;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000070522;05;957-23551-AQAY;HERBARIUM;RECALM;30 caps.;;7896083402601;1186000320071;90460103;511420010008007;N;;30;89.91;120.61;3;4.02;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000090786;05;127-27777-FSAQ;MERCK SHARP & DOHME;RECARBRIO (Restrito Hosp.);(500 + 500 + 250) mg po sol. infus. IV ct. 25 FA vd. trans.;"CILASTATINA SÓDICA;IMIPENÉM MONOIDRATADO;RELEBACTAM MONOIDRATADO";7897572020689;1017102360014;90581253;527324040024402;N;S;25;15302.42;0;612.1;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000043657;05;034-19592-DFDV;LIBBS;RECONTER;10 mg. 30 cprs. rev. or.;OXALATO DE ESCITALOPRAM;7896094207608;1003301560021;90232364;523709103116410;N;N;30;83.32;114.85;2.78;3.83;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000043658;05;034-19592-DFDW;LIBBS;RECONTER;20 mg. 30 cprs. rev. or.;OXALATO DE ESCITALOPRAM;7896094207615;1003301560031;90232348;523709101113414;N;N;30;178.36;245.85;5.95;8.2;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000057383;05;034-19592-DYLX;LIBBS;RECONTER;15 mg. 30 cprs. rev.;OXALATO DE ESCITALOPRAM;7896094203280;1003301560064;90314069;523714060030104;N;N;30;99.94;137.76;3.33;4.59;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000067990;05;034-19592-EPNW;LIBBS;RECONTER;10 mg. 60 cprs. rev. or.;OXALATO DE ESCITALOPRAM;7896094209527;1003301560099;90351827;523716090034603;N;N;60;90.78;125.13;1.51;2.09;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000072594;05;034-19592-EVFK;LIBBS;RECONTER;20 mg. 60 cprs. rev. or.;OXALATO DE ESCITALOPRAM;7896094209541;1003301560102;90382382;523717110036403;N;N;60;203.77;280.88;3.4;4.68;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000084592;05;034-19592-FKQL;LIBBS;RECONTER;15 mg 60 cprs. rev.;OXALATO DE ESCITALOPRAM;7896094211131;1003301560110;90517873;523721090046303;N;N;60;154.85;213.44;2.58;3.56;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000074470;05;034-24236-EXMM;LIBBS;RECONTER GT (NOVA FORMULA);20 mg/ml. 30 ml. sol. or.;OXALATO DE ESCITALOPRAM;7896094210370;1003301560145;90406966;523718050037603;N;N;1;145.28;200.25;145.28;200.25;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000087790;05;034-27081-FOCN;LIBBS;RECONTER ODT;10 mg 30 cprs. or.;OXALATO DE ESCITALOPRAM;7896094211032;1003302190023;90550331;523723030049203;N;N;30;65.73;90.6;2.19;3.02;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087791;05;034-27081-FOCO;LIBBS;RECONTER ODT;15 mg 30 cprs. or.;OXALATO DE ESCITALOPRAM;7896094211049;1003302190058;90550366;523723030049503;N;N;30;102.66;141.51;3.42;4.72;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000087792;05;034-27081-FOCP;LIBBS;RECONTER ODT;20 mg 30 cprs. or.;OXALATO DE ESCITALOPRAM;7896094211056;1003302190074;90550382;523723030049803;N;N;30;123.17;169.78;4.11;5.66;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000003202;05;076-04544-BHQK;ROCHE;RECORMON;10000 UI/0,6 ml 6 ser. preench.;BETAEPOETINA;7896226502922;1010005590178;90184912;529204402158212;N;N;6;2857.94;3939.37;476.32;656.56;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000001849;05;029-02362-ABLG;BAYER;REDOXON;Tb. 10 cprs. eferv. 2 g.;ÁCIDO ASCÓRBICO;7891106006262;1705600160042;90284232;538900202131419;N;N;10;20.61;27.65;2.06;2.76;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000001850;05;029-02362-AFHM;BAYER;REDOXON;Vd. 20 ml. 200 mg/ml (gotas);ÁCIDO ASCÓRBICO;7891106006286;1705600160077;90452925;538919120029607;N;N;1;19.13;25.66;19.13;25.66;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000001851;05;029-02362-AHNP;BAYER;REDOXON;Tb. 10 cprs. eferv. laranja 1 g;ÁCIDO ASCÓRBICO;7891106006279;1705600160018;90452917;538919120029507;N;N;10;13.99;18.77;1.4;1.88;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000045051;05;029-02362-DGQA;BAYER;REDOXON;1 g eferv. 30 cprs.;ÁCIDO ASCÓRBICO;7891106907118;1705600160034;90452909;538919120029407;N;N;30;36.94;49.55;1.23;1.65;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000092058;05;029-02362-FTRL;BAYER;REDOXON;Kit Redoxon (gotas);ÁCIDO ASCÓRBICO;7891106912938;1705600160077;90452925;538919120029607;N;N;1;57.4;77;57.4;77;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000092059;05;029-02362-FTRM;BAYER;REDOXON;Kit Redoxon cprs. eferv. laranja;ÁCIDO ASCÓRBICO;7891106912945;1705600160018;90452917;538919120029507;N;N;1;41.96;56.29;41.96;56.29;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000092060;05;029-02362-FTRN;BAYER;REDOXON;Kit Redoxon tripla acao cprs. eferv.;"ASCORBATO DE SÓDIO;CITRATO DE ZINCO TRI-HIDRATADO;COLECALCIFEROL";7891106915540;1705601220022;90505115;538921030033407;N;N;1;91.57;123.71;91.57;123.71;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000070791;05;828-11618-ETLJ;DR. REDDY S;REDTIBIN (Restrito Hosp.) (CONVENIO 162/94);50 mg. po liof. sol. inj. ct. FA vd. trans.;DECITABINA;8901148235984;1514300250018;90377087;507517050006204;N;S;1;6997.84;0;6997.84;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000034135;05;387-10989-CVAS;FARMOQUIMICA;REDUCLIM;2,5 mg. 35 cprs.;TIBOLONA;7898040322205;1039001360095;90074432;509003206111411;N;N;35;102.49;141.27;2.93;4.04;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000039622;05;387-10989-CVAT;FARMOQUIMICA;REDUCLIM;1,25 mg. 35 cprs.;TIBOLONA;7898040322199;1039001360109;90074394;509003204117412;N;N;35;76.91;106.02;2.2;3.03;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000094472;05;912-28690-FWTW;MOMENTA;REDUXALT;(90 + 8) mg ct. fr. plas. PEAD opc. x 70 cprs. rev. lib. prol.;"CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA";7891317039158;1004315620011;90619471;508026010197804;N;N;70;224.25;300.82;3.2;4.3;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000094474;05;912-28690-FWTX;MOMENTA;REDUXALT;(90 + 8) mg ct. fr. plas. PEAD opc. x 120 cprs. rev. lib. prol.;"CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA";7891317039165;1004315620021;90619480;508026010197904;N;N;120;384.43;515.7;3.2;4.3;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000081497;05;691-25662-FGXV;ZYDUS NIKKHO;REFORGAN;500 mg ct. bl. al. plas. x 30 cprs. rev.;;7897460401651;;;;N;;30;78.41;0;2.61;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1094;medicamento;0000084183;05;691-26304-FKCP;ZYDUS NIKKHO;REFORGAN IMUNO;500 mg + 10 mg + 2000 UI x 30 cprs.;;7897460401897;;;;N;;30;85.5;0;2.85;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1094;medicamento;0000084528;05;068-26362-FKOH;ZAMBON;REFORM DUO;30 saches;;7898074619081;;;;N;;30;200.86;0;6.7;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1094;medicamento;0000084530;05;068-26364-FKOH;ZAMBON;REFORM MAX;30 saches;;7898074616974;;;;N;;30;142.69;0;4.76;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1094;medicamento;0000084529;05;068-26363-FKOH;ZAMBON;REFORM TABS;30 saches;;7898074615908;;;;N;;30;84.51;0;2.82;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000024766;05;562-15866-CKRO;GLAXOSMITHKLINE;REFORTRIX (VAC. COMB. DTPA PARA REFORCO);Inj. para reforco;"TOXÓIDE PERTUSSIS;TOXÓIDE DIFTÉRICO;PERTACTINA;TOXÓIDE TETÂNICO;HEMAGLUTININA FILAMENTOSA";7896015520007;1010701610010;90089618;510606301150311;N;N;1;149.2;205.66;149.2;205.66;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000046909;05;562-20207-DLJL;GLAXOSMITHKLINE;REFORTRIX IPV (VAC. COMB. DTPA PARA REFORCO IPV (DTPA-IPV));Inj. seringa preench. x 0,5 ml;"TOXÓIDE PERTUSSIS;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;TOXÓIDE DIFTÉRICO;PERTACTINA;POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE TETÂNICO;HEMAGLUTININA FILAMENTOSA";7896015519742;1010702820019;90227166;510612901156412;N;N;1;170.55;235.09;170.55;235.09;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000077212;05;348-12259-FBBF;CRISTALIA;REGENCEL;10.000 UI/g. + 25 mg/g. + 5 mg/g. + 5 mg/g. pom. oft. ct. bisn. al. x 3,5 g.;"CLORANFENICOL;ACETATO DE RETINOL;AMINOÁCIDOS;METIONINA (11 C)";7896676432886;1029804930019;90433068;506719050078117;N;N;1;13.39;17.96;13.39;17.96;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1094;medicamento;0000089773;05;1006-23975-FQVW;EXELTIS;REGENESIS;Blisters com 60 caps. moles;;7908134200712;;;;N;;60;109.58;0;1.83;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000089774;05;1006-23975-FQVX;EXELTIS;REGENESIS;2 cartuchos com blisters de 60 caps. moles cada em uma embalagem promocional;;7908134200811;;;;N;;60;189;0;3.15;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000089775;05;1006-23975-FQVY;EXELTIS;REGENESIS;2 cartuchos com blisters de 60 caps. moles cada em uma embalagem promocional;;7908134200828;;;;N;;60;189;0;3.15;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000073240;05;1006-26919-EVXL;EXELTIS;REGENESIS BASIC;Bl. 30 caps. mole;;7898956544111;;;;N;;30;69.9;0;2.33;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000073241;05;1006-26919-EVXQ;EXELTIS;REGENESIS BASIC;Bl. 60 caps. mole;;7898956544579;;;;N;;60;134;0;2.23;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000076568;05;1006-26919-FABW;EXELTIS;REGENESIS BASIC;Bl. 90 caps. mole;;7908134200071;;;;N;;90;145;0;1.61;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000078557;05;1006-24918-EVXL;EXELTIS;REGENESIS PRE;Bl. 30 caps. mole;;7908134200118;;;;N;;30;59;0;1.97;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000078837;05;1006-25090-EVXQ;EXELTIS;REGENESIS PREMIUM;Bl. 60 caps. mole;;7908134200125;;;;N;;60;109.58;0;1.83;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000080287;05;1006-25090-FFJC;EXELTIS;REGENESIS PREMIUM;Bl. 120 caps. mole;;7908134200248;;;;N;;120;189;0;1.58;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000075788;05;048-24621-EZBZ;ACHE;REGRESSA;8 mg. bl. 30 caps. dura lib. prol.;BROMIDRATO DE GALANTAMINA;7896658029233;1057305130063;90422708;552918020072304;N;N;30;139.35;192.08;4.64;6.4;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000075789;05;048-24621-EZCA;ACHE;REGRESSA;16 mg. bl. 30 caps. dura lib. prol.;BROMIDRATO DE GALANTAMINA;7896658029240;1057305130111;90422716;552918020072404;N;N;30;168.5;232.26;5.62;7.74;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000075790;05;048-24621-EZCB;ACHE;REGRESSA;24 mg. bl. 30 caps. dura lib. prol.;BROMIDRATO DE GALANTAMINA;7896658029257;1057305130160;90422724;552918020072504;N;N;30;186.92;257.65;6.23;8.59;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000076115;05;048-24621-EZOK;ACHE;REGRESSA;8 mg. bl. 7 caps. dura lib. prol.;BROMIDRATO DE GALANTAMINA;7896658028779;1057305130012;90422694;552918020072204;N;N;7;30.8;42.45;4.4;6.06;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000094504;05;072-02374-FWUM;EUROFARMA;REHIDRAT;(48,93 + 64,30 + 57,50 + 791,55) mg/g po sol. oral ct. 4 env. pap. x 7,625 g (sabor laranja);"CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO";7891317007508;1004306900041;90070631;508011403133413;N;N;4;28.66;38.45;7.16;9.61;;BRAS_PF_PMC;ed. 1091;20;
