fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000003268;05;062-04622-AOVI;EMS;A SAUDE DA MULHER;Sol. fr. 150 ml;"EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA;SALICILATO DE SÓDIO;TINTURA AGONIADA PLUMÉRIA;EXTRATO FLUIDO DE PASSIFLORA ALATA";7896004817477;1023510590025;90328949;541815080013703;N;N;1;16.88;22.64;16.88;22.64;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000087843;05;846-00002-FOEQ;COSMED;AAS;100 mg cx. 200 cprs.;ACIDO ACETILSALICILICO;7896094928060;1781709360033;90559452;540923010058917;N;N;200;149.86;201.03;0.75;1.01;;BRAS_PF_PMC;ed. 1084;20;
BRASINDICE;1100;medicamento;0000087844;05;846-00002-BJDJ;COSMED;AAS;100 mg cx. 30 cprs.;ACIDO ACETILSALICILICO;7896094928107;1781709360017;90559436;540923010058717;N;N;30;20.99;28.16;0.7;0.94;;BRAS_PF_PMC;ed. 1084;20;
BRASINDICE;1100;medicamento;0000087845;05;846-00002-FOER;COSMED;AAS;100 mg cx. 120 cprs.;ACIDO ACETILSALICILICO;7896094928091;1781709360025;90559444;540923010058817;N;N;120;74.37;99.76;0.62;0.83;;BRAS_PF_PMC;ed. 1084;20;
BRASINDICE;1100;medicamento;0000091764;05;846-27987-FTFP;COSMED;AAS INFANTIL;100 mg. disp. bl. 10x20 cprs.;ACIDO ACETILSALICILICO;7896094932036;1781709360033;90559452;540923010058917;N;N;200;149.86;201.03;0.75;1.01;;BRAS_PF_PMC;ed. 1084;20;
BRASINDICE;1100;medicamento;0000087846;05;846-15250-FOES;COSMED;AAS PROTECT;100 mg cx. 30 cprs. rev.;ÁCIDO ACETILSALICÍLICO;7896094928046;1781709310011;90559398;540923010059117;N;N;30;17.34;23.26;0.58;0.78;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000064758;05;729-08502-BDXL;TEVA;ABELCET (Restrito Hosp.);5 mg/ml sus. inj. est. cart. 1 FA vd. inc. x 20 ml + agulha;ANFOTERICINA B;7898587900201;1557300340037;90344235;537516030006817;N;S;1;4167.41;0;4167.41;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000092644;05;1127-27526-FUKI;BIOCON;ABEVMY (Restrito Hosp.) (CONVENIO 162/94);25 mg/ml sol. dil. infus. IV ct. FA. vd. trans. x 4 ml;BEVACIZUMABE;8905056005462;1166400010016;90618858;650725120002117;N;S;1;858.17;0;858.17;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000092645;05;1127-27526-FUKJ;BIOCON;ABEVMY (Restrito Hosp.) (CONVENIO 162/94);25 mg/ml sol. dil. infus. IV ct. FA. vd. trans. x 16 ml;BEVACIZUMABE;8905056005479;1166400010024;90618866;650725120002217;N;S;1;3157.92;0;3157.92;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000007219;05;438-08011-AASE;BIOLAB SANUS;ABLOK;25 mg. cx. 30 cprs.;ATENOLOL;7896241221853;1097401000026;90024966;504100102111411;N;N;30;11.56;15.93;0.39;0.53;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000007220;05;438-08011-AGNP;BIOLAB SANUS;ABLOK;100 mg. cx. 30 cprs.;ATENOLOL;7896241225530;1097401000085;90024958;504100101113419;N;N;30;47.99;66.14;1.6;2.2;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000007221;05;438-08011-ALUU;BIOLAB SANUS;ABLOK;50 mg. cx. 30 cprs.;ATENOLOL;7896241225523;1097401000050;90024974;504100103116415;N;N;30;29.32;40.41;0.98;1.35;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000007222;05;438-08012-BAOD;BIOLAB SANUS;ABLOK PLUS;50 mg/12,5 mg. cx. 30 cprs.;"ATENOLOL;CLORTALIDONA";7896241225127;1097400920091;90025008;504100202114410;N;N;30;35.39;48.78;1.18;1.63;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000007223;05;438-08012-BAOE;BIOLAB SANUS;ABLOK PLUS;100 mg/25 mg. cx. 30 cprs.;"ATENOLOL;CLORTALIDONA";7896241225547;1097400920075;90024990;504100201118412;N;N;30;57.1;78.7;1.9;2.62;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000024046;05;438-08012-CJWA;BIOLAB SANUS;ABLOK PLUS;25 mg + 12,5 mg. 3 bl. x 10 cprs.;"ATENOLOL;CLORTALIDONA";7896241225257;1097400920059;90024982;504100203110419;N;N;30;19.16;26.41;0.64;0.88;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000058197;05;438-08012-DZRR;BIOLAB SANUS;ABLOK PLUS;50/12,5 mg. cx. 60 cprs.;"ATENOLOL;CLORTALIDONA";7896112411512;1097400920121;90288025;504114020051503;N;N;60;70.83;97.63;1.18;1.63;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000058198;05;438-08012-DZRS;BIOLAB SANUS;ABLOK PLUS;100/25 mg. cx. 60 cprs.;"ATENOLOL;CLORTALIDONA";7896112411437;1097400920131;90288033;504114020051403;N;N;60;100.68;139.19;1.68;2.32;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000058199;05;438-08012-DZRT;BIOLAB SANUS;ABLOK PLUS;25/12,5 mg. cx. 90 cprs.;;7896112419730;1097400920164;90299752;504114070051703;N;;90;56.2;77.69;0.62;0.86;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000058200;05;438-08012-DZRV;BIOLAB SANUS;ABLOK PLUS;100/25 mg. cx. 90 cprs.;;7896112419778;1097400920148;90299760;504114070051803;N;;90;167.45;231.49;1.86;2.57;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000058201;05;438-08012-DZRU;BIOLAB SANUS;ABLOK PLUS;50/12,5 mg. cx. 90 cprs.;"ATENOLOL;CLORTALIDONA";7896112419761;1097400920156;90299779;504114070051903;N;N;90;103.8;143.5;1.15;1.59;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000059727;05;438-08012-ECCV;BIOLAB SANUS;ABLOK PLUS;25/12,5 mg. cx. 60 cprs.;"ATENOLOL;CLORTALIDONA";7896112411529;1097400920113;90370554;504117020057803;N;N;60;38.35;52.86;0.64;0.88;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087450;05;348-27179-FNRK;CRISTALIA;ABMETHA (CONVENIO 132/21);250 mg ct. fr. plas. pead. opc. x 120 cprs.;ACETATO DE ABIRATERONA;7896676438888;1029805760011;90552113;506723010097304;N;N;120;13672.96;18341.79;113.94;152.85;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000084959;05;361-23807-EUPO;UNITED MEDICAL;ABRAXANE (Restrito Hosp.);100 mg. po liof. susp. inj. ct. FA vd. trans.;PACLITAXEL;7898054580240;1257600330011;90529790;533222020003817;N;S;1;1357.18;0;1357.18;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000082453;05;100-25956-FIDJ;GEOLAB;ABRIFIT;Xpe. 7 mg/mL c/100 mL + copo dos.;HEDERA HELIX L.;7899095249134;1542302160011;90472519;510420060182307;N;N;1;15.37;20.62;15.37;20.62;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000012784;05;387-11822-ACGR;FARMOQUIMICA;ABRILAR;Xpe. 100 ml;HEDERA HELIX (HERA);7898040320973;1039001410017;90461312;509020030022807;N;N;1;42.15;56.54;42.15;56.54;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000029255;05;387-11822-CPVC;FARMOQUIMICA;ABRILAR;Xpe. 200 ml;HEDERA HELIX (HERA);7898040321970;1039001410076;90461169;509020030022707;N;N;1;80.38;107.83;80.38;107.83;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000081407;05;387-11822-FGUZ;FARMOQUIMICA;ABRILAR;Xpe. fr. 200 ml (sabor menta);HEDERA HELIX (HERA);7898040328290;1039001410211;90484061;509020070023207;N;N;1;73.65;98.8;73.65;98.8;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000091140;05;132-27835-FSNM;PFIZER;ABRYSVO;60 mcg + 60 mcg po liof. inj. ct. FA vd. trans. + sol. dil. ser. preenc. vd. trans. x 0,5 ml + adap. + agulha;VACINA VÍRUS SINCICIAL RESPIRATÓRIO A E B (RECOMBINANTE);7891045166324;1211004980011;90588339;522724070094402;N;N;1;1198.36;1607.56;1198.36;1607.56;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000010742;05;062-10544-BSRD;EMS;ACEBROFILINA - GENERICO;25 mg/5 ml 120 ml + copo med.;ACEBROFILINA;7896004710464;1023506580037;90434650;507728901136116;S;N;1;22.3;30.83;22.3;30.83;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000010743;05;062-10544-BSRE;EMS;ACEBROFILINA - GENERICO;50 mg/5 ml 120 ml + copo med.;ACEBROFILINA;7896004710471;1023506580045;90434668;507728902132114;S;N;1;31.48;43.52;31.48;43.52;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000010744;05;072-10544-BJAA;EUROFARMA;ACEBROFILINA - GENERICO;5 mg/5 ml xpe. inf. fr. 120 ml.;ACEBROFILINA;7891317002688;1004307850011;90065760;508017401132117;S;N;1;23.17;31.94;23.17;31.94;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000010745;05;072-10544-BJAB;EUROFARMA;ACEBROFILINA - GENERICO;10 mg/5 ml xpe. ad. fr. 120 ml.;ACEBROFILINA;7891317002695;1004307850021;90065778;508017402139115;S;N;1;32.66;45.02;32.66;45.02;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000010750;05;473-10544-BYNX;NEO QUIMICA;ACEBROFILINA - GENERICO;5 mg/ml xpe. inf. fr. 120 ml;ACEBROFILINA;7896714214115;1558403980010;90375351;504617090065718;S;N;1;23.08;31.81;23.08;31.81;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000010751;05;473-10544-BYNY;NEO QUIMICA;ACEBROFILINA - GENERICO;10 mg/ml xpe. ad. fr. 120 ml;ACEBROFILINA;7896714214146;1558403980037;90375343;504617090065618;S;N;1;31.35;43.21;31.35;43.21;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000010756;05;591-10544-BTRL;GERMED;ACEBROFILINA - GENERICO;50 mg/5 ml xpe. fr. 120 ml;ACEBROFILINA;7896004710495;1058303150049;90354532;526116090097406;S;N;1;31.94;44.03;31.94;44.03;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000010757;05;591-10544-BTYQ;GERMED;ACEBROFILINA - GENERICO;25 mg/5 ml xpe. fr. 120 ml;ACEBROFILINA;7896004710488;1058303150030;90354508;526116090097106;S;N;1;22.61;31.26;22.61;31.26;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000071740;05;100-10544-EUQC;GEOLAB;ACEBROFILINA - GENERICO;Xpe. ad. 10 mg/ml fr. 120 ml + cp. dos.;ACEBROFILINA;7899095233027;1542301230016;90078578;510413301132119;S;N;1;30.69;42.3;30.69;42.3;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000071741;05;100-10544-EUQD;GEOLAB;ACEBROFILINA - GENERICO;Xpe. ped. 5 mg/ml fr. 120 ml + cp. dos.;ACEBROFILINA;7899095233034;1542301230032;90078586;510413302139117;S;N;1;21.64;29.83;21.64;29.83;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000077217;05;048-10544-FBBL;ACHE;ACEBROFILINA - GENERICO;5 mg/ml xpe. fr. x 120 ml;ACEBROFILINA;7896181924098;1057306090030;90448480;552920020116517;S;N;1;23.01;31.72;23.01;31.72;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000077218;05;048-10544-FBBM;ACHE;ACEBROFILINA - GENERICO;10 mg/ml xpe. fr. x 120 ml;ACEBROFILINA;7896181924081;1057306090049;90448499;552920020116617;S;N;1;32.51;44.81;32.51;44.81;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000090517;05;583-10544-FRSQ;NOVA QUIMICA;ACEBROFILINA - GENERICO;25 mg/5 ml xpe fr. x 120 ml;ACEBROFILINA;7895296271042;1181902750028;90556321;0;S;N;1;23.95;33.01;23.95;33.01;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000090518;05;583-10544-FRSR;NOVA QUIMICA;ACEBROFILINA - GENERICO;50 mg/5 ml xpe fr. x 120 ml;ACEBROFILINA;7895296271035;1181902750044;90556330;0;S;N;1;33.69;46.44;33.69;46.44;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000091408;05;1092-10544-FSYY;GLOBO PHARMA;ACEBROFILINA - GENERICO;10 mg/ml xpe. fr. 120 ml + cop. med.;ACEBROFILINA;7899620912731;1053501960021;90403827;517618010025306;S;N;1;22.4;30.88;22.4;30.88;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000091409;05;1092-10544-FSYZ;GLOBO PHARMA;ACEBROFILINA - GENERICO;5 mg/ml xpe. fr. 120 ml + cp. med.;ACEBROFILINA;7899620912748;1053501960011;90403819;517618010025206;S;N;1;18.84;25.97;18.84;25.97;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000095761;05;517-10544-FXYQ;PRATI DONADUZZI;ACEBROFILINA - GENERICO;5 mg/ml xpe. ct. fr. vd. x 120 ml + copo;;7898148292745;;90177754;;S;;1;21.46;29.58;21.46;29.58;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000095762;05;517-10544-FXYR;PRATI DONADUZZI;ACEBROFILINA - GENERICO;10 mg/ml xpe. ct. fr. vd. x 120 ml + copo;;7898148292851;;90177738;;S;;1;29.59;40.79;29.59;40.79;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000048252;05;517-18280-CGSJ;PRATI DONADUZZI;ACEBROFILINA - GENERICO (Restrito Hosp.);5 mg/ml. xpe. cx. 50 fr. plas. opc. x 120 ml. + 50 cp. med. (hosp.);ACEBROFILINA;7898148292790;1256801590128;90238001;528525712137112;S;S;50;705.63;0;14.11;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000095759;05;517-18280-FXYO;PRATI DONADUZZI;ACEBROFILINA - GENERICO (Restrito Hosp.);10 mg/ml xpe. cx. 50 fr. vd. x 120 ml + 50 copos;;7898148292868;;;;S;S;50;1817.84;0;36.36;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000095760;05;517-18280-FXYP;PRATI DONADUZZI;ACEBROFILINA - GENERICO (Restrito Hosp.);5 mg/ml xpe. cx. 50 fr. vd. x 120 ml + 50 copos;;7898148292752;;;;S;S;50;1228.92;0;24.58;0;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000050163;05;173-20687-DONX;LEGRAND;ACECLO-GRAN;100 mg. 2 bl. x 6 cprs. rev.;ACECLOFENACO;7896004722726;1677300650101;90283708;538813080046904;N;N;12;34.42;47.58;2.87;3.96;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000013851;05;529-12252-BQNN;RANBAXY;ACECLOFENACO - GENERICO;100 mg. 1 str. x 12 cprs.;ACECLOFENACO;7897076909312;1235201000025;90185870;529900101113114;S;N;12;37.31;51.57;3.11;4.3;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000013852;05;529-12252-BQNO;RANBAXY;ACECLOFENACO - GENERICO;100 mg. 2 str. x 12 cprs.;ACECLOFENACO;7897076909343;1235201000033;90185889;529900102111115;S;N;24;69.82;96.51;2.91;4.02;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000024419;05;591-12252-AEFF;GERMED;ACECLOFENACO - GENERICO;Creme bisn. 30 g;ACECLOFENACO;7896004716541;1058305410031;90081145;526127601169113;S;N;1;28.58;38.34;28.58;38.34;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000052948;05;583-12252-DONX;NOVA QUIMICA;ACECLOFENACO - GENERICO;100 mg. 2 bl. x 6 cprs. rev.;ACECLOFENACO;7895296118064;1181902820026;90556364;525312080037206;S;N;12;37.65;51.9;3.14;4.32;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000052949;05;583-12252-DONY;NOVA QUIMICA;ACECLOFENACO - GENERICO;100 mg. 4 bl. x 6 cprs. rev.;ACECLOFENACO;7895296118088;1181902820042;90556372;525312080037306;S;N;24;67.08;92.73;2.8;3.86;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000073163;05;691-12252-EVRL;ZYDUS NIKKHO;ACECLOFENACO - GENERICO;100 mg. bl. al. 12 cprs.;ACECLOFENACO;7898940658800;1565100640011;90414900;536218030008706;S;N;12;32.55;44.87;2.71;3.74;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000085788;05;072-12252-FMAN;EUROFARMA;ACECLOFENACO - GENERICO;100 mg 12 cprs.;ACECLOFENACO;7891317020002;1004313070030;90538358;508022060163106;S;N;12;38.94;53.67;3.24;4.47;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000049382;05;591-20593-DONX;GERMED;ACECLOFENACO - GENERICO (*);100 mg. 2 bl. x 6 cprs. rev.;ACECLOFENACO;7896004722146;1058307420040;90264967;526112070085006;S;N;12;37.47;51.65;3.12;4.3;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000049383;05;591-20593-DONY;GERMED;ACECLOFENACO - GENERICO (*);100 mg. 4 bl. x 6 cprs. rev.;ACECLOFENACO;7896004722153;1058307420083;90264975;526112070085106;S;N;24;71.27;98.53;2.97;4.11;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000049398;05;062-20593-DONX;EMS;ACECLOFENACO - GENERICO (*);100 mg. 2 bl. x 6 cprs. rev.;ACECLOFENACO;7896004722122;1023510530049;90256476;541812070001306;S;N;12;36.01;49.78;3;4.15;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000085027;05;583-26466-FLDI;NOVA QUIMICA;ACEFLOR;2 bl. 6 cprs. rev.;ACECLOFENACO;7895296309011;1181903020066;90556461;607023030087717;N;N;12;36.7;50.59;3.06;4.22;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000073650;05;1010-18881-EWNL;CELLERA FARMA;ACERATUM;Sol. oto. ct. fr. plast. opc. got. x 10 ml;PERÓXIDO DE URÉIA;7893454300115;1044000050025;90260252;514000101135410;N;N;1;17.89;23.99;17.89;23.99;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000080297;05;368-25399-FFJJ;SERVIER;ACERTALIX;(5,0+1,25) mg ct. tb. plas. PP opc. x 30 cprs. rev.;"INDAPAMIDA;PERINDOPRIL ARGININA";7898029550407;1127800770017;90460286;531320040009307;N;N;30;65.28;90.25;2.18;3.01;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000084730;05;368-25399-FKUY;SERVIER;ACERTALIX;(10+2,5) mg ct. tb plas. PP opc. x 30 cprs. rev.;"INDAPAMIDA;PERINDOPRIL ARGININA";7898029550421;1127800770041;90525477;531321110011803;N;N;30;89.6;123.86;2.99;4.13;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000090486;05;368-25399-FRRZ;SERVIER;ACERTALIX;(10 + 2,5) mg ct. tb. plas. PP opc. x 10 cprs. rev.;"INDAPAMIDA;PERINDOPRIL ARGININA";3664898122496;1127800770068;90567072;531323070012203;N;N;10;29.87;41.29;2.99;4.13;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000094303;05;368-25399-FWPX;SERVIER;ACERTALIX;(5,0+1,25) mg ct. tb. plas. PP opc. x 10 cprs. rev.;"INDAPAMIDA;PERINDOPRIL ARGININA";3664898122472;1127800770051;;531323070012303;N;N;10;21.76;30.08;2.18;3.01;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000071222;05;368-23719-ETYR;SERVIER;ACERTANLO;14 mg. + 10 mg. ct. tb. plas. pp. opc. x 30 cprs;"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";7898029550353;1127800750091;90385926;531317040008005;N;N;30;115.04;154.32;3.83;5.14;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071223;05;368-23719-ETYS;SERVIER;ACERTANLO;3,5 mg. + 2,5 mg. ct. tb. plas. pp. opc. x 30 cprs;"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";7898029550315;1127800750059;90385950;531317040008305;N;N;30;48.87;65.56;1.63;2.19;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071224;05;368-23719-ETYT;SERVIER;ACERTANLO;7 mg. + 5 mg. ct. tb. plas. pp. opc. x 30 cprs;"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";7898029550339;1127800750075;90385985;531317040008605;N;N;30;66.46;89.15;2.22;2.97;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000080565;05;368-23719-FFRL;SERVIER;ACERTANLO;3,5 + 2,5 mg. ct. tb. plas. pp opc. x 10 cprs. rev.;"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";7898029550308;1127800750016;90385934;531317040008105;N;N;10;16.29;21.85;1.63;2.18;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000080566;05;368-23719-FFRM;SERVIER;ACERTANLO;7 mg. + 5 mg. ct. tb. plas. pp opc. x 10 cprs. rev.;"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";7898029550322;1127800750024;90385969;531317040008405;N;N;10;22.16;29.73;2.22;2.97;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000091353;05;368-23719-FSUS;SERVIER;ACERTANLO;14 mg + 10 mg ct. TB plas. PP opc. x 10 cprs.;"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";7898029550346;1127800750032;90385900;531317040007805;N;N;10;55.67;74.68;5.57;7.47;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000055762;05;368-21580-DWGP;SERVIER;ACERTIL;10 mg. cx. tb. plast. x 30;PERINDOPRIL;7898029550247;1127800740053;90288084;531314020007103;N;N;30;81.49;112.33;2.72;3.74;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000063469;05;368-21580-EGXW;SERVIER;ACERTIL;5 mg. cx. tb. plast. x 30;PERINDOPRIL;7898029550216;1127800740029;90288050;531314020006803;N;N;30;61.1;84.22;2.04;2.81;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000077215;05;368-21580-FBBV;SERVIER;ACERTIL;10 mg. cx. tb. plast. x 60;PERINDOPRIL;7898029550254;1127800740061;90288092;531314020007203;N;N;60;162.99;224.66;2.72;3.74;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000080567;05;368-21580-FFRN;SERVIER;ACERTIL;10 mg. cx. tb. plas. x 15 cprs. rev.;PERINDOPRIL;7898029550230;1127800740045;90288076;531314020007003;N;N;15;40.75;56.17;2.72;3.74;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000082676;05;368-21580-FIID;SERVIER;ACERTIL;5 mg ct. tb. plas. x 60 cprs. rev.;PERINDOPRIL;7898029550223;1127800740037;90288068;531314020006903;N;N;60;122.25;168.51;2.04;2.81;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000090184;05;368-21580-FRIO;SERVIER;ACERTIL;5 mg. ct. tb. plas. x 15 cprs. rev.;PERINDOPRIL;7898029550209;1127800740010;90288041;531314020006703;N;N;15;30.57;42.14;2.04;2.81;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000044905;05;853-19864-DGLK;VASCONCELOS IND. FARM.;ACESYL;100 mg/ml sol. inj. cx. 50 amps. vd. amb. x 1 ml;CLORIDRATO DE TIAMINA;7898920500099;1640000010017;90247612;540600601154317;N;N;50;675.72;934.14;13.51;18.68;;BRAS_PF_PMC;ed. 1081;20;
BRASINDICE;1100;medicamento;0000074032;05;828-26870-EWXU;DR. REDDY S;ACETATO DE ABIRATERONA - GENERICO (CONVENIO 132/21);250 mg. ct. fr. plas. opc. x 120 cprs. rev.;ACETATO DE ABIRATERONA;8901148240056;1514300280030;90398661;507518030008406;S;N;120;9898.91;13644.61;82.49;113.71;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000075885;05;921-26870-FNRK;SUN;ACETATO DE ABIRATERONA - GENERICO (CONVENIO 132/21);250 mg ct. fr. plas. pead. opc. x 120 cprs.;ACETATO DE ABIRATERONA;7898272945166;1468200680013;90413652;532418120023506;S;N;120;9899.6;13279.96;82.5;110.67;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000078594;05;702-26870-FCXQ;SANDOZ;ACETATO DE ABIRATERONA - GENERICO (CONVENIO 132/21);250 mg. ct. fr. plast. opc. x 120 cprs.;ACETATO DE ABIRATERONA;7897595633545;1004706190015;90449223;511520020070707;S;N;120;9899.61;13279.97;82.5;110.67;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000081976;05;729-26870-FBYD;TEVA;ACETATO DE ABIRATERONA - GENERICO (CONVENIO 132/21);250 mg. ct. fr. plast. opc. x 120 cprs. rev. or.;ACETATO DE ABIRATERONA;7898587901598;1557300510013;90478126;537520090009107;S;N;120;9899.32;13279.59;82.49;110.66;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000091447;05;674-26870-FSZA;GLENMARK;ACETATO DE ABIRATERONA - GENERICO (CONVENIO 132/21);500 mg. ct. fr. plas. pead opc x 60 cprs. rev.;ACETATO DE ABIRATERONA;7897473200005;1101303000015;90591909;521924100022606;S;N;60;9899.5;13279.83;164.99;221.33;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000094602;05;828-26870-FWXI;DR. REDDY S;ACETATO DE ABIRATERONA - GENERICO (CONVENIO 132/21);500 mg ct. fr. plas. opc. x 60 cprs. rev.;ACETATO DE ABIRATERONA;8901148274129;1514300280049;90609930;507525080028406;S;N;60;9899.64;13280.01;164.99;221.33;;BRAS_PF_PMC;ed. 1090;20;
