fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;576924020001317;;;RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME;QARZIBA;4,5MG/ML SOL DIL INFUS CT FA VD TRANS X 4,5ML;BETADINUTUXIMABE;5060146292993;1712600080017;90575237;576924020001317;;S;;78853.46;;;;;CMED_ICMS17;20260508;20;PF0=65448.39|PF12=74373.19|PF18=79815.1|PF19=80800.49|PF20=81810.49|PF21=82846.08|PF22=83908.17|PMVG17=61876.31|PMVG18=62630.91|PMVG20=64196.69
CMED;20260508;medicamento;501123040040702;;;TAKEDA PHARMA LTDA.;QDENGA;PÓ LIÓFILO SOL INJ CT 10 FA VD TRANS X 1 DOSE + 10 FA VD TRANS DIL X 0,5ML;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817311;1063903070026;90562712;501123040040702;;N;;2933.83;3935.63;;;;CMED_ICMS17;20260508;20;PF0=2435.08|PF12=2767.14|PF18=2969.61|PF19=3006.27|PF20=3043.85|PF21=3082.38|PF22=3121.9|PMC0=3266.57|PMC12=3712.02|PMC18=3983.63|PMC19=4032.8|PMC20=4083.22|PMC21=4134.9|PMC22=4187.92
CMED;20260508;medicamento;501123040040802;;;TAKEDA PHARMA LTDA.;QDENGA;PÓ LIÓFILO SOL INJ CT 1 FA VD TRANS X 1 DOSE + 1 SER PREENC VD TRANS DIL X 0,5ML;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817397;1063903070034;90562720;501123040040802;;N;;293.39;393.57;;;;CMED_ICMS17;20260508;20;PF0=243.51|PF12=276.72|PF18=296.96|PF19=300.63|PF20=304.39|PF21=308.24|PF22=312.19|PMC0=326.66|PMC12=371.21|PMC18=398.36|PMC19=403.28|PMC20=408.33|PMC21=413.49|PMC22=418.79
CMED;20260508;medicamento;501123040040902;;;TAKEDA PHARMA LTDA.;QDENGA;PÓ LIÓFILO SOL INJ CT 5 FA VD TRANS X 1 DOSE + 5 SER PREENC VD TRANS DIL X 0,5ML;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817403;1063903070042;90562739;501123040040902;;N;;1466.92;1967.82;;;;CMED_ICMS17;20260508;20;PF0=1217.54|PF12=1383.57|PF18=1484.8|PF19=1503.14|PF20=1521.93|PF21=1541.19|PF22=1560.95|PMC0=1633.29|PMC12=1856.01|PMC18=1991.81|PMC19=2016.41|PMC20=2041.61|PMC21=2067.45|PMC22=2093.96
CMED;20260508;medicamento;501123040041002;;;TAKEDA PHARMA LTDA.;QDENGA;PÓ LIÓFILO SOL INJ CT 1 FA VD TRANS X 1 DOSE + 1 SER PREENC VD TRANS DIL X 0,5ML + 2 AGU;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817328;1063903070050;90562747;501123040041002;;N;;293.39;393.57;;;;CMED_ICMS17;20260508;20;PF0=243.51|PF12=276.72|PF18=296.96|PF19=300.63|PF20=304.39|PF21=308.24|PF22=312.19|PMC0=326.66|PMC12=371.21|PMC18=398.36|PMC19=403.28|PMC20=408.33|PMC21=413.49|PMC22=418.79
CMED;20260508;medicamento;501123040041102;;;TAKEDA PHARMA LTDA.;QDENGA;PÓ LIÓFILO SOL INJ CT 5 FA VD TRANS X 1 DOSE + 5 SER PREENC VD TRANS DIL X 0,5ML +10 AGU;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817335;1063903070069;90562755;501123040041102;;N;;1466.92;1967.82;;;;CMED_ICMS17;20260508;20;PF0=1217.54|PF12=1383.57|PF18=1484.8|PF19=1503.14|PF20=1521.93|PF21=1541.19|PF22=1560.95|PMC0=1633.29|PMC12=1856.01|PMC18=1991.81|PMC19=2016.41|PMC20=2041.61|PMC21=2067.45|PMC22=2093.96
CMED;20260508;medicamento;501123040041202;;;TAKEDA PHARMA LTDA.;QDENGA;PÓ LIÓFILO SOL INJ CT 1 FA VD TRANS X 1 DOSE + 1 FA VD TRANS DIL X 0,5ML;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817304;1063903070018;90562704;501123040041202;;N;;293.39;393.57;;;;CMED_ICMS17;20260508;20;PF0=243.51|PF12=276.72|PF18=296.96|PF19=300.63|PF20=304.39|PF21=308.24|PF22=312.19|PMC0=326.66|PMC12=371.21|PMC18=398.36|PMC19=403.28|PMC20=408.33|PMC21=413.49|PMC22=418.79
CMED;20260508;medicamento;538901401111319;;;BAYER S.A.;QLAIRA;3 MG + (2 + 2) MG + (2 + 3) MG + 1 MG COM REV EST BL AL PLAS PVC TRANS X 26 + 2 PLACEBOS;"DIENOGESTE;VALERATO DE ESTRADIOL";7891106904582;1705600490018;90021258;538901401111319;;N;;55.33;74.22;;;;CMED_ICMS17;20260508;20;PF0=45.92|PF12=52.18|PF18=56|PF19=56.69|PF20=57.4|PF21=58.13|PF22=58.87|PMC0=61.6|PMC12=70|PMC18=75.12|PMC19=76.05|PMC20=77|PMC21=77.98|PMC22=78.97|PMVG17=43.42|PMVG18=43.94|PMVG20=45.04
CMED;20260508;medicamento;502320030033807;;;ASTRAZENECA DO BRASIL LTDA;QTERN;(10,0 + 5,0) MG COM REV CT BL AL AL X 7;"SAXAGLIPTINA MONOIDRATADA;DAPAGLIFLOZINA";5000456026536;1161802730012;90462858;502320030033807;;N;;80.39;107.84;;;;CMED_ICMS17;20260508;20;PF0=66.72|PF12=75.82|PF18=81.37|PF19=82.37|PF20=83.4|PF21=84.46|PF22=85.54|PMC0=89.5|PMC12=101.71|PMC18=109.15|PMC19=110.5|PMC20=111.88|PMC21=113.3|PMC22=114.75|PMVG17=63.08|PMVG18=63.85|PMVG20=65.44
CMED;20260508;medicamento;502320030033907;;;ASTRAZENECA DO BRASIL LTDA;QTERN;(10,0 + 5,0) MG COM REV CT BL AL AL X 30;"SAXAGLIPTINA;DAPAGLIFLOZINA";5000456025461;1161802730020;90462866;502320030033907;;N;;344.54;462.19;;;;CMED_ICMS17;20260508;20;PF0=285.97|PF12=324.97|PF18=348.74|PF19=353.05|PF20=357.46|PF21=361.99|PF22=366.63|PMC0=383.62|PMC12=435.94|PMC18=467.82|PMC19=473.6|PMC20=479.52|PMC21=485.6|PMC22=491.82|PMVG17=270.36|PMVG18=273.66|PMVG20=280.5
CMED;20260508;medicamento;540917070031617;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;QUADRIDERM;0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7891142180766;1781707900073;90389379;540917070031617;;N;;45.98;61.68;;;;CMED_ICMS17;20260508;20;PF0=38.16|PF12=43.36|PF18=46.54|PF19=47.11|PF20=47.7|PF21=48.3|PF22=48.92|PMC0=51.19|PMC12=58.17|PMC18=62.43|PMC19=63.2|PMC20=63.99|PMC21=64.79|PMC22=65.62|PMVG17=36.08|PMVG18=36.52|PMVG20=37.43
CMED;20260508;medicamento;540917070031817;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;QUADRIDERM;0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7891142180773;1781707900103;90389395;540917070031817;;N;;46.13;61.88;;;;CMED_ICMS17;20260508;20;PF0=38.29|PF12=43.51|PF18=46.7|PF19=47.27|PF20=47.86|PF21=48.47|PF22=49.09|PMC0=51.36|PMC12=58.37|PMC18=62.65|PMC19=63.41|PMC20=64.2|PMC21=65.02|PMC22=65.85|PMVG17=36.2|PMVG18=36.65|PMVG20=37.56
CMED;20260508;medicamento;504618010068203;;;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;QUADRILON;0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7896714266916;1558404880079;90397100;504618010068203;;N;;29.3;39.3;;;;CMED_ICMS17;20260508;20;PF0=24.32|PF12=27.64|PF18=29.66|PF19=30.02|PF20=30.4|PF21=30.78|PF22=31.18|PMC0=32.62|PMC12=37.08|PMC18=39.79|PMC19=40.27|PMC20=40.78|PMC21=41.29|PMC22=41.83|PMVG17=22.99|PMVG18=23.27|PMVG20=23.85
